station_id,station_name,city,metro_line_id,line_name,latitude,longitude,zone_sector,station_type,interchange_flag,num_platforms,num_entry_exit_gates,num_escalators,num_lifts,num_ticket_counters,num_afc_gates,platform_capacity,concourse_area_sqm,max_safe_occupancy,nearby_poi_count,poi_category,connecting_transport_modes,station_tier,timestamp,date,time_slot,day_of_week,is_weekend,direction,platform_id,entry_count,exit_count,net_flow,transfer_count,current_occupancy,occupancy_percentage,crowd_density_level,avg_dwell_time,queue_length_at_gate,avg_wait_time_platform,train_arrivals_in_slot,train_headway_minutes,train_capacity,train_load_factor,afc_smart_card_taps,qr_ticket_taps,token_sales_count,historical_avg_footfall,historical_peak_footfall,historical_std_dev,is_holiday,holiday_type,is_festival,festival_name,school_college_session_flag,office_hours_flag,weather_condition,temperature,rainfall_mm,aqi_index,special_event_flag,event_type,event_distance_km,expected_event_attendance,strike_or_disruption_flag,service_alert_active,current_train_frequency,scheduled_train_frequency,frequency_deviation,platform_congestion_flag,gate_closure_recommended,alternate_route_suggested,alternate_station_id,alternate_mode_suggested,crowd_control_staff_deployed,barricade_status,announcement_triggered,escalator_status,lift_status,incident_type,incident_resolved_time,next_15min_inflow,next_15min_outflow,next_30min_occupancy_pct,crowd_level_class,is_anomalous_surge,surge_magnitude,recommended_action
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 6:00,2026/8/1,6:00,Saturday,1,Eastbound,P-1,158,130,28,29,187,0.042,Low,2.8,3,4.2,2,6,1800,0.1,101,29,28,158,284.4,31.6,0,None,0,None,1,0,Clear,28.5,0,224,0,None,0,0,0,0,6,6,0,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,130,121,0.121,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 6:15,2026/8/1,6:15,Saturday,1,Southbound,P-4,130,121,9,47,98,0.022,Low,4.1,3,3.5,2,5.8,1800,0.1,83,23,24,127.8333333,230.1,39.04057718,0,None,0,None,1,0,Rain,28.2,17.3,205,0,None,0,0,0,0,5.8,6,-0.2,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,373,128,0.024,Low,0,0,"Deploy Floor Mats, Prepare for Slow Clearance"
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 6:30,2026/8/1,6:30,Saturday,1,Westbound,P-3,373,128,245,45,543,0.121,Low,4.6,9,4.1,2,7,1800,0.13,238,68,67,120.1818182,216.3272727,45.71393263,0,None,0,None,1,0,Clear,28.2,0,154,1,Cricket Match,1.6,21329,0,0,7,6,1,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,126,184,0.042,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 6:45,2026/8/1,6:45,Saturday,1,Westbound,P-2,126,184,-58,30,108,0.024,Low,2,3,1.3,2,6.6,1800,0.1,80,23,23,115.375,207.675,43.29260907,0,None,0,None,1,0,Rain,34.2,14.6,126,0,None,0,0,0,0,6.6,6,0.6,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,165,139,0.033,Low,0,0,"Deploy Floor Mats, Prepare for Slow Clearance"
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 7:00,2026/8/1,7:00,Saturday,1,Northbound,P-4,165,139,26,25,191,0.042,Low,3.4,4,4.3,2,7,1800,0.1,105,30,30,117.3809524,211.2857143,44.30065032,0,None,0,None,1,0,Clear,33.4,0,78,0,None,0,0,0,0,7,6,1,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,153,124,0.094,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 7:15,2026/8/1,7:15,Saturday,1,Northbound,P-3,153,124,29,57,147,0.033,Low,4.5,3,1.8,2,5.9,1800,0.1,97,28,28,115.7692308,208.3846154,42.42858253,0,None,0,None,1,0,Thunderstorm,26.9,6.3,151,0,None,0,0,0,0,5.9,6,-0.1,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,261,129,0.023,Low,0,0,"Deploy Floor Mats, Prepare for Slow Clearance"
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 7:30,2026/8/1,7:30,Saturday,1,Southbound,P-4,261,129,132,46,424,0.094,Low,5.1,6,3.9,2,6.5,1800,0.1,166,48,47,115.4516129,207.8129032,41.90611627,0,None,0,None,1,0,Partly Cloudy,26,0,82,1,Political Rally,1.6,31043,0,0,6.5,6,0.5,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,154,175,0.038,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 7:45,2026/8/1,7:45,Saturday,1,Northbound,P-4,154,175,-21,24,102,0.023,Low,3.9,3,2.8,2,6.2,1800,0.1,98,28,28,115.8333333,208.5,41.38357162,0,None,0,None,1,0,Clear,35.7,0,196,0,None,0,0,0,0,6.2,6,0.2,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,137,143,0.017,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 8:00,2026/8/1,8:00,Saturday,1,Westbound,P-2,137,143,-6,49,171,0.038,Low,3.5,3,2.7,2,6.5,1800,0.1,87,25,25,114.0243902,205.2439024,40.80103418,0,None,0,None,1,0,Partly Cloudy,36,0,201,0,None,0,0,0,0,6.5,6,0.5,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,146,160,0.014,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 8:15,2026/8/1,8:15,Saturday,1,Northbound,P-3,146,160,-14,18,76,0.017,Low,4.4,3,3.8,2,6.3,1800,0.1,93,26,27,115.0652174,207.1173913,41.23181198,0,None,0,None,1,0,Clear,33.9,0,165,0,None,0,0,0,0,6.3,6,0.3,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,103,123,0.022,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 8:30,2026/8/1,8:30,Saturday,1,Southbound,P-2,103,123,-20,33,63,0.014,Low,2.1,2,2.1,2,5.6,1800,0.1,65,18,20,113.9607843,205.1294118,40.04145891,0,None,0,None,1,0,Clear,31.1,0,188,0,None,0,0,0,0,5.6,6,-0.4,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,88,133,0.051,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 8:45,2026/8/1,8:45,Saturday,1,Westbound,P-3,88,133,-45,10,101,0.022,Low,3.9,2,3.1,2,5.9,1800,0.1,56,16,16,113.7142857,204.6857143,39.26308203,0,None,0,None,1,0,Thunderstorm,38.4,13.4,141,0,None,0,0,0,0,5.9,6,-0.1,0,0,0,None,None,0,Stowed,0,Under Maintenance,Active,None,0,166,109,0.026,Low,0,0,"Deploy Floor Mats, Prepare for Slow Clearance"
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 9:00,2026/8/1,9:00,Saturday,1,Northbound,P-4,166,109,57,35,228,0.051,Low,4,4,2.9,2,6.3,1800,0.1,106,30,30,114.5081967,206.1147541,38.95708021,0,None,0,None,1,0,Clear,35.6,0,133,0,None,0,0,0,0,6.3,6,0.3,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,99,136,0.027,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 9:15,2026/8/1,9:15,Saturday,1,Eastbound,P-3,99,136,-37,30,119,0.026,Low,2.5,2,2.4,2,7.1,1800,0.1,63,18,18,114.6212121,206.3181818,39.71892211,0,None,0,None,1,0,Clear,26.5,0,119,0,None,0,0,0,0,7.1,6,1.1,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,150,169,0.024,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 9:30,2026/8/1,9:30,Saturday,1,Northbound,P-3,150,169,-19,46,121,0.027,Low,2.8,3,2.7,2,7,1800,0.1,95,27,28,114,205.2,39.10717873,0,None,0,None,1,0,Clear,37.4,0,55,0,None,0,0,0,0,7,6,1,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,151,143,0.016,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 9:45,2026/8/1,9:45,Saturday,1,Southbound,P-1,151,143,8,44,108,0.024,Low,2.5,3,2.4,2,6,1800,0.1,96,27,28,113.5657895,204.4184211,39.01054064,0,None,0,None,1,0,Clear,28.5,0,152,0,None,0,0,0,0,6,6,0,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,115,155,0.025,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 10:00,2026/8/1,10:00,Saturday,1,Westbound,P-4,115,155,-40,42,72,0.016,Low,2,2,1.7,2,6.4,1800,0.1,73,21,21,113.5555556,204.4,38.84745809,0,None,0,None,1,0,Clear,35.1,0,176,0,None,0,0,0,0,6.4,6,0.4,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,118,112,0.029,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 10:15,2026/8/1,10:15,Saturday,1,Southbound,P-4,118,112,6,17,114,0.025,Low,2.3,2,4.1,2,6.3,1800,0.1,75,21,22,114.3255814,205.7860465,39.29210124,0,None,0,None,1,0,Rain,41.6,11.9,148,0,None,0,0,0,0,6.3,6,0.3,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,162,111,0.019,Low,0,0,"Deploy Floor Mats, Prepare for Slow Clearance"
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 10:30,2026/8/1,10:30,Saturday,1,Westbound,P-1,162,111,51,30,130,0.029,Low,3.3,3,2,2,5.7,1800,0.1,103,29,30,114.7032967,206.4659341,39.33940476,0,None,0,None,1,0,Rain,36.7,19.8,191,0,None,0,0,0,0,5.7,6,-0.3,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,131,157,0.05,Low,0,0,"Deploy Floor Mats, Prepare for Slow Clearance"
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 10:45,2026/8/1,10:45,Saturday,1,Northbound,P-3,131,157,-26,42,86,0.019,Low,3.7,3,2.7,2,5.9,1800,0.1,83,24,24,114.3020833,205.74375,38.99314914,0,None,0,None,1,0,Partly Cloudy,35,0,152,0,None,0,0,0,0,5.9,6,-0.1,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,308,298,0.046,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 11:00,2026/8/1,11:00,Saturday,1,Northbound,P-1,308,298,10,47,225,0.05,Low,2,7,4.2,2,6.2,1800,0.1,196,56,56,116.019802,208.8356436,43.39008647,0,None,0,None,1,0,Clear,32.4,0,219,0,None,0,0,0,0,6.2,6,0.2,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,320,329,0.191,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 11:15,2026/8/1,11:15,Saturday,1,Northbound,P-4,320,329,-9,47,209,0.046,Low,4,7,3.8,2,6.1,1800,0.1,204,58,58,122.0660377,219.7188679,53.31724797,0,None,0,None,1,0,Clear,34.1,0,172,0,None,0,0,0,0,6.1,6,0.1,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,421,168,0.021,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 11:30,2026/8/1,11:30,Saturday,1,Westbound,P-1,421,168,253,88,858,0.191,Low,3,10,3.7,2,6.5,1800,0.2,269,77,75,128.2972973,230.9351351,64.33514445,0,None,0,None,1,0,Clear,36.9,0,145,0,None,0,0,0,0,6.5,6,0.5,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,245,280,0.02,Low,0,0,Normal Operations
STN001,Rajiv Chowk,Delhi,L_YEL_BLU,Yellow-Blue,28.6328,77.2197,Central,Underground,1,4,8,12,4,6,24,2000,5000,4500,15,"Commercial, Retail","Bus, Auto, Taxi",Tier-1,2026-8-1 11:45,2026/8/1,11:45,Saturday,1,Northbound,P-4,245,280,-35,40,95,0.021,Low,5.5,6,3.3,2,6.4,1800,0.1,156,45,44,132.4913793,238.4844828,67.80451385,0,None,0,None,1,0,Partly Cloudy,24.5,0,140,0,None,0,0,0,0,6.4,6,0.4,0,0,0,None,None,0,Stowed,0,Active,Active,None,0,242,262,0.015,Low,0,0,Normal Operations
