iter	RMSE
0	22.78670212
1	22.28503058
2	21.72110416
3	21.22225605
4	20.74038984
5	20.29010077
6	19.89033303
7	19.47659662
8	19.10160273
9	18.7336327
10	18.40102816
11	18.09662567
12	17.76142788
13	17.48070296
14	17.23450925
15	16.96296393
16	16.72549239
17	16.47877109
18	16.2847612
19	16.06295106
20	15.82166945
21	15.64338777
22	15.44609719
23	15.23750154
24	15.05786912
25	14.91725732
26	14.7338996
27	14.5874815
28	14.44234242
29	14.31337237
30	14.15314711
31	13.99475293
32	13.86057037
33	13.74676704
34	13.61770408
35	13.49346482
36	13.37531153
37	13.25392117
38	13.13464796
39	13.04745919
40	12.94252488
41	12.84231367
42	12.75243757
43	12.67103958
44	12.56387387
45	12.47027977
46	12.39520161
47	12.3171736
48	12.2473532
49	12.15100228
50	12.08134937
51	11.98076134
52	11.89410159
53	11.82137767
54	11.72663874
55	11.64700819
56	11.57945744
57	11.51911305
58	11.4559736
59	11.37856106
60	11.30552336
61	11.22690426
62	11.15514576
63	11.10607131
64	11.05323028
65	10.99940485
66	10.93194556
67	10.85902049
68	10.80672378
69	10.7610753
70	10.71364961
71	10.66650407
72	10.62053372
73	10.54904055
74	10.48683231
75	10.4427081
76	10.40872782
77	10.37597604
78	10.32601866
79	10.27368055
80	10.22118315
81	10.18986929
82	10.13586091
83	10.08258348
84	10.03332425
85	9.99406392
86	9.964668675
87	9.931005681
88	9.899418889
89	9.868866717
90	9.832173657
91	9.796543359
92	9.761967786
93	9.718952839
94	9.69853066
95	9.667367329
96	9.621599515
97	9.591966402
98	9.550264283
99	9.514134632
100	9.49100493
101	9.457952826
102	9.415320827
103	9.396418466
104	9.362828182
105	9.33606377
106	9.312794046
107	9.27940748
108	9.258961475
109	9.218353716
110	9.19958241
111	9.166740742
112	9.133878485
113	9.113623911
114	9.0757347
115	9.038674424
116	9.015400189
117	8.990341838
118	8.960502245
119	8.94028856
120	8.926070234
121	8.898278423
122	8.869480399
123	8.845650048
124	8.82022499
125	8.795495745
126	8.774388311
127	8.744576651
128	8.723958716
129	8.706378128
130	8.685470992
131	8.66997003
132	8.644743888
133	8.628364369
134	8.614438079
135	8.590840058
136	8.571898922
137	8.55023846
138	8.527738609
139	8.508878564
140	8.492443383
141	8.466564087
142	8.454128616
143	8.437594508
144	8.423546434
145	8.413639558
146	8.392005183
147	8.384867939
148	8.363066151
149	8.346570235
150	8.339574691
151	8.324348894
152	8.300927258
153	8.284620594
154	8.269839919
155	8.25211791
156	8.229268402
157	8.216532825
158	8.193373924
159	8.1730756
160	8.157363661
161	8.149282231
162	8.140051967
163	8.127811679
164	8.10900629
165	8.090949094
166	8.081300984
167	8.065181859
168	8.047677665
169	8.033705723
170	8.016824687
171	8.004374384
172	7.988964008
173	7.977977103
174	7.967950798
175	7.950424322
176	7.944914144
177	7.927068241
178	7.916129784
179	7.912859436
180	7.901872582
181	7.89282565
182	7.879317883
183	7.871231285
184	7.866136424
185	7.858050597
186	7.850200397
187	7.834924927
188	7.82277495
189	7.816712193
190	7.812811783
191	7.807551206
192	7.79926446
193	7.7865326
194	7.770327569
195	7.759244561
196	7.751461809
197	7.736719774
198	7.724823883
199	7.710229976
200	7.699322575
201	7.68943091
202	7.681833246
203	7.676836712
204	7.67183622
205	7.659918723
206	7.655260908
207	7.648322876
208	7.639299336
209	7.627755539
210	7.618657682
211	7.6144349
212	7.60215779
213	7.59141175
214	7.580405766
215	7.570560993
216	7.565803615
217	7.555204081
218	7.547802814
219	7.537217194
220	7.531333488
221	7.524880725
222	7.519863338
223	7.512128969
224	7.501238294
225	7.494958417
226	7.489056885
227	7.482171635
228	7.477406455
229	7.471322054
230	7.463161677
231	7.453376737
232	7.447746518
233	7.437786868
234	7.432978371
235	7.423629174
236	7.415904793
237	7.406467795
238	7.40243914
239	7.395274993
240	7.390786865
241	7.382593357
242	7.377071704
243	7.371499264
244	7.36167048
245	7.357309743
246	7.349093173
247	7.345378448
248	7.339200764
249	7.331331629
250	7.323652513
251	7.317843373
252	7.312880614
253	7.309703858
254	7.301895825
255	7.298513244
256	7.291982508
257	7.286229769
258	7.278536554
259	7.273862964
260	7.270196226
261	7.264855257
262	7.258333617
263	7.251490745
264	7.245471824
265	7.238965698
266	7.232089671
267	7.228552436
268	7.224487616
269	7.219046579
270	7.216420565
271	7.211259992
272	7.207104788
273	7.201524018
274	7.199202039
275	7.193159357
276	7.187398467
277	7.18323821
278	7.180902953
279	7.174435841
280	7.171535246
281	7.165084343
282	7.16004895
283	7.156614741
284	7.152991659
285	7.147828425
286	7.143809045
287	7.141585252
288	7.137333111
289	7.134248183
290	7.1313984
291	7.129399638
292	7.124478334
293	7.122747139
