iter	Passed	Remaining
0	258	315470
1	376	229958
2	491	199771
3	617	188076
4	767	186886
5	912	185179
6	1102	191587
7	1233	187388
8	1352	182392
9	1468	178187
10	1592	175421
11	1739	175505
12	1882	175196
13	2008	173469
14	2132	171727
15	2250	169764
16	2366	167884
17	2478	165934
18	2616	165777
19	2729	164176
20	2842	162712
21	2959	161549
22	3071	160272
23	3186	159201
24	3305	158390
25	3427	157818
26	3568	158073
27	3720	158791
28	3842	158199
29	3983	158397
30	4109	158023
31	4242	157904
32	4364	157373
33	4501	157424
34	4634	157316
35	4757	156853
36	4886	156619
37	5013	156355
38	5146	156247
39	5272	155946
40	5390	155392
41	5513	155030
42	5629	154477
43	5858	156992
44	6035	158002
45	6174	157989
46	6314	157989
47	6434	157517
48	6552	156989
49	6737	158063
50	6851	157451
51	6973	157030
52	7089	156507
53	7204	155958
54	7340	155885
55	7469	155655
56	7596	155397
57	7704	154755
58	7810	154089
59	7913	153388
60	8022	152813
61	8128	152219
62	8235	151644
63	8354	151288
64	8466	150836
65	8584	150495
66	8696	150038
67	8808	149615
68	8919	149170
69	9029	148736
70	9146	148406
71	9260	148041
72	9371	147625
73	9485	147283
74	9601	146964
75	9717	146651
76	9844	146512
77	9961	146225
78	10081	145990
79	10195	145674
80	10309	145352
81	10421	145016
82	10547	144868
83	10656	144496
84	10769	144182
85	10901	144131
86	11033	144066
87	11232	144870
88	11367	144845
89	11501	144786
90	11687	145391
91	11874	145974
92	12061	146552
93	12221	146785
94	12384	147054
95	12548	147317
96	12687	147282
97	12831	147303
98	12975	147315
99	13115	147283
100	13264	147359
101	13413	147415
102	13618	148080
103	13763	148094
104	13920	148222
105	14093	148510
106	14274	148883
107	14451	149201
108	14680	150033
109	14891	150675
110	15079	151068
111	15258	151362
112	15415	151426
113	15608	151842
114	15832	152545
115	15968	152392
116	16114	152333
117	16259	152258
118	16407	152218
119	16596	152547
120	16766	152700
121	16880	152338
122	16993	151972
123	17102	151578
124	17209	151164
125	17318	150778
126	17425	150381
127	17535	150014
128	17645	149642
129	17765	149369
130	17879	149038
131	18033	149049
132	18205	149202
133	18383	149402
134	18558	149566
135	18710	149546
136	18887	149722
137	19052	149799
138	19217	149869
139	19341	149623
140	19458	149317
141	19589	149128
142	19702	148800
143	19840	148664
144	19995	148659
145	20127	148472
146	20365	149070
147	20485	148794
148	20648	148834
149	20804	148822
150	21010	149159
151	21145	148995
152	21289	148889
153	21442	148846
154	21584	148721
155	21700	148424
156	21828	148210
157	21947	147937
158	22139	148152
159	22336	148396
160	22501	148429
161	22706	148710
162	22904	148947
163	23101	149170
164	23242	149032
165	23377	148856
166	23580	149110
167	23753	149166
168	23892	149011
169	24044	148933
170	24192	148832
171	24335	148699
172	24459	148451
173	24621	148434
174	24752	148234
175	24871	147959
176	24996	147720
177	25276	148392
178	25738	150118
179	25975	150514
180	26132	150441
181	26355	150745
182	26580	151060
183	26966	152273
184	27198	152605
185	27331	152380
186	27450	152080
187	27657	152266
188	27823	152217
189	27967	152055
190	28084	151747
191	28194	151399
192	28314	151111
193	28427	150782
194	28562	150576
195	28672	150239
196	28797	149982
197	28935	149791
198	29057	149523
199	29183	149271
200	29309	149027
201	29446	148837
202	29569	148575
203	29688	148296
204	29812	148045
205	29956	147891
206	30090	147688
207	30224	147488
208	30351	147257
209	30502	147139
210	30643	146970
211	30772	146748
212	30897	146508
213	31028	146296
214	31153	146057
215	31302	145933
216	31450	145800
217	31635	145840
218	31793	145754
219	31962	145719
220	32081	145455
221	32206	145220
222	32334	144997
223	32489	144897
224	32669	144907
225	32821	144793
226	32949	144572
227	33062	144287
228	33186	144050
229	33311	143817
230	33444	143624
231	33567	143386
232	33685	143125
233	33805	142880
234	33917	142599
235	34043	142378
236	34167	142146
237	34298	141949
238	34413	141687
239	34523	141402
240	34641	141153
241	34761	140914
242	34875	140651
243	35026	140536
244	35173	140406
245	35313	140250
246	35456	140103
247	35655	140178
248	35795	140017
249	35929	139837
250	36093	139771
251	36227	139591
252	36348	139360
253	36514	139300
254	36647	139117
255	36768	138888
256	36899	138694
257	37014	138445
258	37138	138229
259	37257	137994
260	37367	137729
261	37478	137469
262	37603	137261
263	37730	137057
264	37852	136838
265	37969	136604
266	38084	136361
267	38202	136131
268	38316	135886
269	38424	135624
270	38546	135410
271	38658	135162
272	38778	134944
273	38886	134683
274	38994	134424
275	39108	134188
276	39217	133934
277	39325	133679
278	39431	133418
279	39543	133175
280	39654	132933
281	39765	132692
282	39868	132425
283	39971	132158
284	40076	131901
285	40187	131662
286	40294	131414
287	40401	131165
288	40515	130938
289	40628	130710
290	40741	130484
291	40846	130234
292	40953	129990
293	41061	129749
294	41174	129526
295	41308	129368
296	41431	129178
297	41607	129151
298	41747	129013
299	41892	128888
300	42023	128722
301	42148	128538
302	42288	128402
303	42436	128285
304	42568	128124
305	42687	127921
306	42825	127778
307	42933	127544
308	43035	127296
309	43149	127081
310	43259	126857
311	43386	126684
312	43495	126456
313	43594	126203
314	43691	125943
315	43789	125687
316	43896	125458
317	44023	125287
318	44271	125458
319	44469	125486
320	44622	125387
321	44727	125154
322	44842	124948
323	44940	124697
324	45047	124469
325	45154	124245
326	45254	123999
327	45357	123764
328	45480	123584
329	45613	123434
330	45744	123276
331	45868	123098
332	45972	122870
333	46129	122781
334	46301	122734
335	46715	123323
336	46912	123337
337	47019	123113
338	47129	122898
339	47237	122678
340	47345	122460
341	47466	122273
342	47595	122110
343	47726	121951
344	47908	121923
345	48001	121667
346	48102	121434
347	48220	121243
348	48326	121023
349	48432	120805
350	48531	120569
351	48633	120341
352	48734	120111
353	48836	119882
354	48933	119644
355	49031	119412
356	49132	119183
357	49279	119069
358	49509	119154
359	49806	119397
360	49918	119196
361	50027	118988
362	50133	118773
363	50236	118553
364	50338	118329
365	50479	118198
366	50633	118098
367	50744	117897
368	50858	117704
369	50961	117486
370	51071	117285
371	51185	117093
372	51303	116912
373	51426	116740
374	51512	116486
375	51650	116350
376	51760	116152
377	51874	115961
378	51988	115774
379	52102	115585
380	52207	115376
381	52329	115206
382	52461	115058
383	52581	114884
384	52681	114666
385	52797	114485
386	52951	114385
387	53097	114269
388	53228	114119
389	53353	113957
390	53509	113861
391	53660	113755
392	53773	113567
393	53885	113379
394	54001	113198
395	54107	112997
396	54218	112807
397	54367	112696
398	54565	112686
399	54727	112601
400	54837	112411
401	54947	112218
402	55057	112027
403	55162	111826
404	55270	111633
405	55379	111441
406	55495	111263
407	55596	111057
408	55703	110861
409	55803	110654
410	55953	110544
411	56048	110328
412	56153	110132
413	56259	109937
414	56361	109735
415	56481	109568
416	56662	109520
417	56788	109366
418	56898	109180
419	57012	109003
420	57126	108824
421	57234	108637
422	57338	108441
423	57446	108254
424	57561	108080
425	57666	107888
426	57774	107701
427	57883	107516
428	57978	107307
429	58084	107119
430	58191	106931
431	58286	106723
432	58394	106539
433	58496	106344
434	58594	106144
435	58692	105943
436	58796	105753
437	58896	105556
438	58999	105366
439	59104	105179
440	59209	104992
441	59308	104795
442	59411	104607
443	59516	104422
444	59614	104224
445	59691	103991
446	59793	103802
447	59891	103606
448	59980	103396
449	60064	103177
450	60156	102972
451	60234	102745
452	60340	102565
453	60442	102380
454	60545	102194
455	60637	101993
456	60740	101809
457	60840	101622
458	60940	101434
459	61036	101240
460	61135	101053
461	61237	100869
462	61332	100676
463	61441	100505
464	61540	100318
465	61642	100135
466	61754	99970
467	61849	99778
468	61959	99610
469	62059	99427
470	62162	99249
471	62256	99056
472	62362	98884
473	62464	98704
474	62559	98514
475	62647	98315
476	62765	98162
477	62871	97990
478	62973	97811
479	63068	97624
480	63168	97445
481	63272	97271
482	63374	97095
483	63477	96921
484	63579	96745
485	63691	96586
486	63800	96421
487	63912	96262
488	64011	96082
489	64121	95920
490	64221	95743
491	64343	95599
492	64456	95442
493	64562	95275
494	64666	95105
495	64773	94940
496	64881	94777
497	64991	94616
498	65129	94495
499	65256	94360
500	65370	94205
501	65539	94130
502	65684	94022
503	65826	93907
504	65942	93756
505	66054	93599
506	66164	93439
507	66295	93309
508	66425	93178
509	66559	93053
510	66683	92912
511	66800	92763
512	66918	92616
513	67030	92461
514	67140	92301
515	67254	92149
516	67380	92013
517	67526	91903
518	67668	91789
519	67791	91649
520	67905	91495
521	67999	91316
522	68116	91168
523	68226	91012
524	68333	90851
525	68444	90695
526	68557	90542
527	68668	90386
528	68779	90231
529	68884	90070
530	68994	89913
531	69108	89762
532	69215	89603
533	69332	89457
534	69478	89348
535	69587	89191
536	69709	89051
537	69825	88904
538	69936	88750
539	70032	88577
540	70134	88413
541	70239	88253
542	70355	88105
543	70476	87966
544	70591	87818
545	70703	87666
546	70822	87524
547	70930	87368
548	71031	87203
549	71148	87059
550	71260	86909
551	71389	86780
552	71526	86660
553	71633	86503
554	71734	86339
555	71842	86185
556	71942	86020
557	72051	85868
558	72154	85707
559	72267	85559
560	72374	85403
561	72483	85252
562	72591	85098
563	72697	84942
564	72796	84778
565	72891	84610
566	72989	84446
567	73106	84304
568	73218	84156
569	73318	83994
570	73454	83874
571	73568	83729
572	73676	83577
573	73791	83433
574	73906	83289
575	74014	83137
576	74135	83001
