station_id,station_name,city,metro_line_id,line_name,zone_sector,station_type,interchange_flag,num_platforms,num_entry_exit_gates,num_escalators,num_lifts,num_ticket_counters,num_afc_gates,platform_capacity,concourse_area_sqm,max_safe_occupancy,nearby_poi_count,poi_category,connecting_transport_modes,station_tier,date,timestamp,time_slot,day_of_week,is_weekend,direction,platform_id,entry_count,exit_count,net_flow,transfer_count,current_occupancy,occupancy_percentage,avg_dwell_time,queue_length_at_gate,train_arrivals_in_slot,train_headway_minutes,train_capacity,train_load_factor,afc_smart_card_taps,qr_ticket_taps,token_sales_count,historical_avg_footfall,historical_peak_footfall,historical_std_dev,is_holiday,holiday_type,is_festival,festival_name,school_college_session_flag,office_hours_flag,weather_condition,temperature,rainfall_mm,aqi_index,special_event_flag,event_type,event_distance_km,expected_event_attendance,strike_or_disruption_flag,service_alert_active,current_train_frequency,scheduled_train_frequency,platform_congestion_flag,crowd_level_class
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,Central,Interchange,1,2,10,3,2,12,10,1827,822,2101,15,Office,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,DEL001-P1,723,882,-159,130,145,6.9,2.11,17,8,7.5,2200,0.2,481,118,69,1027,1386,164,0,,0,,0,0,Cloudy,34.8,0.1,160,0,,0.0,0,0,0,8.51,8,0,Low
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,Central,Interchange,1,2,10,3,2,12,10,1827,822,2101,15,Office,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 07:00:00,07-08,Wednesday,0,Inbound,DEL001-P1,2180,2624,-444,352,0,0.0,2.59,27,7,8.6,1500,0.241,1619,314,193,2398,3237,383,0,,0,,1,0,Cloudy,31.4,0.8,69,0,,0.0,0,0,0,7.75,8,0,Low
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,Central,Interchange,1,2,10,3,2,11,10,1827,822,2101,15,Office,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 08:00:00,08-09,Wednesday,0,Inbound,DEL001-P1,2505,2189,316,447,1258,59.88,6.45,25,8,7.5,2200,0.2,1630,319,146,2398,3237,383,0,,0,,1,1,Clear,27.4,0.0,160,0,,0.0,0,0,0,7.61,8,0,Medium
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,Central,Interchange,1,2,10,3,2,9,10,1827,822,2101,15,Office,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 09:00:00,09-10,Wednesday,0,Outbound,DEL001-P1,2802,2501,301,467,1162,55.31,6.5,27,10,6.0,2200,0.2,1698,526,104,2398,3237,383,0,,0,,0,1,Light Rain,26.2,5.3,169,0,,0.0,0,0,0,10.77,8,0,Medium
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,Central,Interchange,1,2,10,3,2,8,10,1827,822,2101,15,Office,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 10:00:00,10-11,Wednesday,0,Inbound,DEL001-P1,1261,1244,17,235,556,26.46,4.08,9,10,6.0,1200,0.2,712,155,119,1370,1849,219,0,,0,,0,1,Clear,28.5,0.0,208,0,,0.0,0,0,0,9.08,8,0,Low
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,Central,Interchange,1,2,10,3,2,4,10,1827,822,2101,15,Office,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 11:00:00,11-12,Wednesday,0,Outbound,DEL001-P1,1076,1038,38,155,590,28.08,4.7,25,6,10.0,1200,0.2,640,110,79,1370,1849,219,0,,0,,0,0,Clear,33.3,0.0,194,0,,0.0,0,0,0,9.4,8,0,Low
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,Central,Interchange,1,2,10,3,2,8,10,1827,822,2101,15,Office,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 12:00:00,12-13,Wednesday,0,Outbound,DEL001-P1,1052,1141,-89,204,496,23.61,2.51,17,10,6.0,1500,0.2,734,161,89,1370,1849,219,0,,0,,0,0,Rain,29.9,1.8,86,0,,0.0,0,0,0,8.76,8,0,Low
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,Central,Interchange,1,2,10,3,2,11,10,1827,822,2101,15,Office,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 13:00:00,13-14,Wednesday,0,Inbound,DEL001-P1,1171,1120,51,224,697,33.17,4.28,10,8,7.5,1500,0.2,755,255,44,1370,1849,219,0,,0,,0,0,Clear,32.5,0.0,99,0,,0.0,0,0,0,7.83,8,0,Low
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,Central,Interchange,1,2,10,3,2,13,10,1827,822,2101,15,Office,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 14:00:00,14-15,Wednesday,0,Inbound,DEL001-P1,1654,896,758,255,2101,100.0,2.54,26,8,7.5,1500,0.2,1030,256,54,1370,1849,219,0,,0,,1,0,Clear,24.5,0.0,84,0,,0.0,0,0,0,8.06,8,1,High
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,Central,Interchange,1,2,10,3,2,14,10,1827,822,2101,15,Office,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 15:00:00,15-16,Wednesday,0,Outbound,DEL001-P1,1228,1123,105,206,807,38.41,5.23,14,6,10.0,1200,0.2,712,236,40,1370,1849,219,0,,0,,1,0,Clear,23.0,0.0,71,0,,0.0,0,0,0,7.75,8,0,Low
