station_id,station_name,city,metro_line_id,line_name,timestamp,date,time_slot,day_of_week,is_weekend,entry_count,exit_count,net_flow,transfer_count,current_occupancy,occupancy_percentage,crowd_density_level,avg_dwell_time,queue_length_at_gate,avg_wait_time_platform,train_arrivals_in_slot,train_headway_minutes,train_capacity,train_load_factor,current_train_frequency,scheduled_train_frequency,platform_congestion_flag,service_alert_active,special_event_flag,event_type,weather_condition,temperature,rainfall_mm,aqi_index
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 06:00:00,2026-07-01,06-07,Wednesday,0,723,882,-159,130,145,6.9,Low,2.11,17,4.48,8,7.5,2200,0.2,8.51,8,0,0,0,,Cloudy,34.8,0.1,160
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 07:00:00,2026-07-01,07-08,Wednesday,0,2180,2624,-444,352,0,0.0,Low,2.59,27,3.11,7,8.6,1500,0.241,7.75,8,0,0,0,,Cloudy,31.4,0.8,69
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 08:00:00,2026-07-01,08-09,Wednesday,0,2505,2189,316,447,1258,59.88,Medium,6.45,25,2.1,8,7.5,2200,0.2,7.61,8,0,0,0,,Clear,27.4,0.0,160
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 09:00:00,2026-07-01,09-10,Wednesday,0,2802,2501,301,467,1162,55.31,Medium,6.5,27,3.62,10,6.0,2200,0.2,10.77,8,0,0,0,,Light Rain,26.2,5.3,169
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 10:00:00,2026-07-01,10-11,Wednesday,0,1261,1244,17,235,556,26.46,Low,4.08,9,1.45,10,6.0,1200,0.2,9.08,8,0,0,0,,Clear,28.5,0.0,208
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 11:00:00,2026-07-01,11-12,Wednesday,0,1076,1038,38,155,590,28.08,Low,4.7,25,5.85,6,10.0,1200,0.2,9.4,8,0,0,0,,Clear,33.3,0.0,194
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 12:00:00,2026-07-01,12-13,Wednesday,0,1052,1141,-89,204,496,23.61,Low,2.51,17,4.3,10,6.0,1500,0.2,8.76,8,0,0,0,,Rain,29.9,1.8,86
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 13:00:00,2026-07-01,13-14,Wednesday,0,1171,1120,51,224,697,33.17,Low,4.28,10,7.76,8,7.5,1500,0.2,7.83,8,0,0,0,,Clear,32.5,0.0,99
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 14:00:00,2026-07-01,14-15,Wednesday,0,1654,896,758,255,2101,100.0,Critical,2.54,26,1.09,8,7.5,1500,0.2,8.06,8,1,0,0,,Clear,24.5,0.0,84
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 15:00:00,2026-07-01,15-16,Wednesday,0,1228,1123,105,206,807,38.41,Medium,5.23,14,3.35,6,10.0,1200,0.2,7.75,8,0,0,0,,Clear,23.0,0.0,71
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 16:00:00,2026-07-01,16-17,Wednesday,0,2342,1974,368,389,1247,59.35,Medium,5.71,17,6.39,9,6.7,2200,0.2,6.21,8,0,0,0,,Rain,34.2,5.7,208
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 17:00:00,2026-07-01,17-18,Wednesday,0,2462,1933,529,462,1654,78.72,High,6.69,7,2.33,8,7.5,1500,0.244,9.63,8,1,0,0,,Clear,29.7,0.0,175
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 18:00:00,2026-07-01,18-19,Wednesday,0,2196,2116,80,333,700,33.32,Low,2.34,24,5.63,10,6.0,1800,0.2,8.28,8,0,0,0,,Clear,31.8,0.0,64
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 19:00:00,2026-07-01,19-20,Wednesday,0,2665,1760,905,526,2101,100.0,Critical,6.08,12,1.32,7,8.6,1200,0.38,9.02,8,1,0,0,,Clear,29.5,0.0,157
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 20:00:00,2026-07-01,20-21,Wednesday,0,2640,2553,87,487,663,31.56,Low,2.94,6,2.03,10,6.0,1800,0.2,4.45,8,0,0,0,,Clear,33.9,0.0,183
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-01 21:00:00,2026-07-01,21-22,Wednesday,0,1106,1089,17,219,476,22.66,Low,2.64,20,3.84,9,6.7,1500,0.2,7.65,8,0,0,0,,Rain,27.6,3.5,201
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 06:00:00,2026-07-02,06-07,Thursday,0,998,985,13,161,509,24.23,Low,5.44,0,2.11,7,8.6,1200,0.2,9.5,8,0,0,0,,Rain,35.6,5.1,132
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 07:00:00,2026-07-02,07-08,Thursday,0,2164,2118,46,461,639,30.41,Low,5.66,8,5.17,8,7.5,1500,0.219,6.75,8,0,0,0,,Clear,35.3,0.0,203
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 08:00:00,2026-07-02,08-09,Thursday,0,2048,2046,2,351,647,30.79,Low,4.76,17,7.2,7,8.6,2200,0.2,8.34,8,0,0,0,,Rain,34.4,4.5,144
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 09:00:00,2026-07-02,09-10,Thursday,0,2197,2495,-298,393,0,0.0,Low,2.47,12,5.49,6,10.0,1500,0.288,9.78,8,0,0,0,,Rain,26.4,10.5,208
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 10:00:00,2026-07-02,10-11,Thursday,0,1502,1158,344,299,1280,60.92,Medium,5.3,16,6.65,10,6.0,1800,0.2,7.74,8,0,0,0,,Light Rain,33.6,6.5,75
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 11:00:00,2026-07-02,11-12,Thursday,0,1387,1074,313,207,1245,59.26,Medium,5.22,11,3.1,7,8.6,1200,0.2,8.84,8,0,0,0,,Light Rain,29.7,9.7,88
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 12:00:00,2026-07-02,12-13,Thursday,0,1418,1285,133,236,782,37.22,Medium,3.85,17,6.16,8,7.5,1200,0.2,6.85,8,0,0,0,,Rain,33.8,12.7,113
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 13:00:00,2026-07-02,13-14,Thursday,0,1119,1328,-209,177,0,0.0,Low,4.81,12,3.56,9,6.7,2200,0.2,5.02,8,0,0,0,,Light Rain,23.9,9.9,68
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 14:00:00,2026-07-02,14-15,Thursday,0,1248,1233,15,227,700,33.32,Low,4.43,24,5.92,11,5.5,1800,0.2,7.59,8,0,0,0,,Clear,35.2,0.0,106
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 15:00:00,2026-07-02,15-16,Thursday,0,1228,1201,27,251,547,26.04,Low,2.37,35,2.32,11,5.5,1200,0.2,7.44,8,0,0,0,,Light Rain,29.8,3.5,83
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 16:00:00,2026-07-02,16-17,Thursday,0,2493,1984,509,361,1676,79.77,High,3.66,20,4.59,6,10.0,1200,0.396,10.53,8,1,0,0,,Light Rain,34.2,1.4,98
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 17:00:00,2026-07-02,17-18,Thursday,0,1978,1342,636,310,1803,85.82,Critical,2.59,0,5.29,10,6.0,2200,0.2,11.19,8,1,0,0,,Cloudy,33.2,0.8,61
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 18:00:00,2026-07-02,18-19,Thursday,0,2537,1961,576,515,2049,97.52,Critical,4.63,17,7.86,7,8.6,1200,0.363,7.81,8,1,0,0,,Rain,28.3,12.9,134
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 19:00:00,2026-07-02,19-20,Thursday,0,1528,2124,-596,296,0,0.0,Low,6.31,22,3.37,6,10.0,1500,0.203,7.8,8,0,0,0,,Clear,29.7,0.0,180
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 20:00:00,2026-07-02,20-21,Thursday,0,2192,2076,116,471,777,36.98,Medium,3.92,25,2.02,8,7.5,2200,0.2,7.45,8,0,0,0,,Rain,25.4,7.8,126
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-02 21:00:00,2026-07-02,21-22,Thursday,0,949,1005,-56,138,404,19.23,Low,2.32,2,7.03,8,7.5,1500,0.2,4.43,8,0,0,0,,Cloudy,25.4,1.4,205
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 06:00:00,2026-07-03,06-07,Friday,0,1020,1077,-57,213,411,19.56,Low,5.01,11,5.22,6,10.0,1800,0.2,8.24,8,0,0,0,,Rain,32.7,2.0,193
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 07:00:00,2026-07-03,07-08,Friday,0,2501,1832,669,535,1822,86.72,Critical,1.68,17,4.86,9,6.7,1800,0.2,7.58,8,1,0,0,,Rain,35.3,13.5,189
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 08:00:00,2026-07-03,08-09,Friday,0,2913,2129,784,604,2078,98.91,Critical,1.99,11,3.79,8,7.5,2200,0.2,7.56,8,1,0,0,,Cloudy,31.4,1.0,84
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 09:00:00,2026-07-03,09-10,Friday,0,2507,2447,60,502,545,25.94,Low,6.91,18,3.96,8,7.5,1200,0.313,8.24,8,0,0,0,,Clear,33.7,0.0,146
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 10:00:00,2026-07-03,10-11,Friday,0,1495,1201,294,219,1119,53.26,Medium,6.14,23,7.0,6,10.0,2200,0.2,6.03,8,0,0,0,,Clear,26.9,0.0,152
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 11:00:00,2026-07-03,11-12,Friday,0,1361,1241,120,202,804,38.27,Medium,2.19,7,2.56,9,6.7,1800,0.2,6.14,8,0,0,0,,Clear,30.4,0.0,85
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 12:00:00,2026-07-03,12-13,Friday,0,1333,1213,120,255,756,35.98,Medium,1.78,13,6.06,10,6.0,1800,0.2,7.4,8,0,0,0,,Light Rain,33.0,13.7,113
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 13:00:00,2026-07-03,13-14,Friday,0,1346,1281,65,215,495,23.56,Low,4.66,15,6.03,8,7.5,1200,0.2,8.07,8,0,0,0,,Rain,31.8,11.5,193
