station_id,station_name,city,metro_line_id,line_name,zone_sector,station_type,interchange_flag,num_platforms,num_entry_exit_gates,num_escalators,num_lifts,num_ticket_counters,num_afc_gates,platform_capacity,concourse_area_sqm,max_safe_occupancy,nearby_poi_count,poi_category,connecting_transport_modes,station_tier,date,timestamp,time_slot,day_of_week,is_weekend,direction,platform_id,entry_count,exit_count,net_flow,transfer_count,avg_dwell_time,queue_length_at_gate,train_arrivals_in_slot,train_headway_minutes,train_capacity,train_load_factor,afc_smart_card_taps,qr_ticket_taps,token_sales_count,historical_avg_footfall,historical_peak_footfall,historical_std_dev,is_holiday,holiday_type,is_festival,festival_name,school_college_session_flag,office_hours_flag,weather_condition,temperature,rainfall_mm,aqi_index,special_event_flag,event_type,event_distance_km,expected_event_attendance,strike_or_disruption_flag,service_alert_active,current_train_frequency,scheduled_train_frequency,platform_congestion_flag,next_30min_occupancy_pct,hour,minute,day,month,year,day_of_week_number,peak_period
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,Central,Interchange,1,2,10,3,2,12,10,1827,822,2101,15,Office,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,DEL001-P1,723,882,-159,130,2.11,17,8,7.5,2200,0.2,481,118,69,1027,1386,164,0,,0,,0,0,Cloudy,34.8,0.1,160,0,,0.0,0,0,0,8.51,8,0,5.94,6,0,1,7,2026,2,Normal
MUM007,Airport Road,Mumbai,L_LINE_1,Line 1,Central,Regular,0,4,14,6,2,5,13,1609,724,1850,9,Transit Hub,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,MUM007-P1,1133,1045,88,74,3.26,15,9,6.7,1200,0.2,763,196,76,1002,1352,160,0,,0,,0,0,Rain,27.0,3.9,61,0,,0.0,0,0,0,10.23,8,0,44.22,6,0,1,7,2026,2,Normal
LKO005,Singar Nagar,Lucknow,L_RED,Red,Central,Regular,0,3,12,4,4,11,9,1789,805,2057,11,Transit Hub,Metro;Auto;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,LKO005-P1,610,543,67,33,5.25,15,10,6.0,1800,0.2,337,85,43,557,751,89,0,,0,,0,0,Clear,30.1,0.0,65,0,,0.0,0,0,0,9.29,8,0,41.88,6,0,1,7,2026,2,Normal
MUM008,Marol Naka,Mumbai,L_LINE_1,Line 1,Central,Regular,0,4,15,2,3,14,17,1927,867,2216,20,Education,Metro;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,MUM008-P1,1178,1042,136,64,1.86,18,6,10.0,1800,0.2,722,216,107,1200,1620,192,0,,0,,0,0,Light Rain,26.7,7.1,63,0,,0.0,0,0,0,8.24,8,0,33.79,6,0,1,7,2026,2,Normal
DEL008,Connaught Place,Delhi,L_BLUE,Blue,Central,Regular,0,4,7,5,5,13,19,1789,805,2057,12,Office,Metro;Auto;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,DEL008-P1,1282,995,287,64,5.0,28,9,6.7,1800,0.2,725,149,86,1157,1561,185,0,,0,,0,0,Cloudy,35.2,0.6,199,0,,0.0,0,0,0,8.79,8,0,54.49,6,0,1,7,2026,2,Normal
PUN014,Vanaz,Pune,L_LINE_2,Line 2,Central,Regular,0,3,13,4,5,5,23,1926,866,2214,7,Office,Metro;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,PUN014-P1,851,740,111,49,6.93,13,9,6.7,2200,0.2,475,150,74,830,1120,132,0,,0,,0,0,Light Rain,27.4,1.3,163,0,,0.0,0,0,0,5.82,8,0,43.85,6,0,1,7,2026,2,Normal
LKO004,Krishna Nagar,Lucknow,L_RED,Red,Central,Regular,0,4,12,3,2,4,25,1674,753,1925,21,Transit Hub,Metro;Rail;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,LKO004-P1,488,276,212,34,4.97,16,12,5.0,2200,0.2,365,74,47,521,703,83,0,,0,,0,0,Light Rain,27.8,8.4,168,0,,0.0,0,0,0,6.68,8,0,48.18,6,0,1,7,2026,2,Normal
MUM009,Sakinaka,Mumbai,L_LINE_1,Line 1,Central,Regular,0,2,11,7,5,13,10,1790,805,2058,20,Transit Hub,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,MUM009-P1,1103,985,118,65,5.99,19,6,10.0,1500,0.2,767,116,91,1115,1505,178,0,,0,,0,0,Rain,24.6,6.4,75,0,,0.0,0,0,0,7.06,8,0,28.48,6,0,1,7,2026,2,Normal
LKO003,Transport Nagar,Lucknow,L_RED,Red,Central,Regular,0,4,8,2,5,14,15,1592,716,1830,25,Commercial,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,LKO003-P1,368,540,-172,20,1.69,3,9,6.7,1200,0.2,208,64,33,495,668,79,0,,0,,0,0,Cloudy,23.2,0.2,57,0,,0.0,0,0,0,7.67,8,0,9.43,6,0,1,7,2026,2,Normal
MUM010,Ghatkopar,Mumbai,L_LINE_1,Line 1,Central,Regular,0,3,17,8,3,12,20,1927,867,2216,11,Residential,Metro;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,MUM010-P1,1038,1318,-280,59,5.39,20,6,10.0,1200,0.2,572,161,48,1200,1620,192,0,,0,,0,0,Cloudy,34.7,0.0,180,0,,0.0,0,0,0,7.76,8,0,4.28,6,0,1,7,2026,2,Normal
