station_id,station_name,city,metro_line_id,line_name,zone_sector,station_type,interchange_flag,num_platforms,num_entry_exit_gates,num_escalators,num_lifts,num_ticket_counters,num_afc_gates,platform_capacity,concourse_area_sqm,max_safe_occupancy,nearby_poi_count,poi_category,connecting_transport_modes,station_tier,time_slot,day_of_week,is_weekend,direction,platform_id,entry_count,exit_count,transfer_count,avg_dwell_time,queue_length_at_gate,train_arrivals_in_slot,train_headway_minutes,train_capacity,train_load_factor,afc_smart_card_taps,qr_ticket_taps,token_sales_count,historical_avg_footfall,historical_peak_footfall,historical_std_dev,is_holiday,holiday_type,is_festival,festival_name,school_college_session_flag,office_hours_flag,weather_condition,temperature,rainfall_mm,aqi_index,special_event_flag,event_type,event_distance_km,expected_event_attendance,strike_or_disruption_flag,service_alert_active,current_train_frequency,scheduled_train_frequency,platform_congestion_flag,hour,minute,day,month,year,day_of_week_number,peak_period
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,Central,Interchange,1,2,10,3,2,12,10,1827,822,2101,15,Office,Metro;Cab;Bus,Tier-3,06-07,Wednesday,0,Inbound,DEL001-P1,723,882,130,2.11,17,8,7.5,2200,0.2,481,118,69,1027,1386,164,0,Unknown,0,Unknown,0,0,Cloudy,34.8,0.1,160,0,Unknown,0.0,0,0,0,8.51,8,0,6,0,1,7,2026,2,Normal
HYD003,KPHB Colony,Hyderabad,L_RED,Red,Central,Regular,0,2,7,8,3,10,9,1470,661,1690,21,Education,Metro;Auto;Bus,Tier-3,06-07,Wednesday,0,Inbound,HYD003-P1,1043,854,67,1.7,11,9,6.7,2200,0.2,597,219,82,669,903,107,0,Unknown,0,Unknown,0,0,Clear,25.1,0.0,96,1,Concert,3.6,29531,0,0,8.76,8,0,6,0,1,7,2026,2,Normal
DEL019,Saket,Delhi,L_YELLOW,Yellow,Central,Regular,0,3,7,7,3,9,12,2196,988,2525,9,Office,Metro;Cab;Bus,Tier-1,06-07,Wednesday,0,Outbound,DEL019-P1,1431,1455,86,2.71,15,6,10.0,2200,0.2,790,174,76,1420,1917,227,0,Unknown,0,Unknown,0,0,Light Rain,25.9,14.7,122,0,Unknown,0.0,0,0,0,9.55,8,0,6,0,1,7,2026,2,Normal
KOC018,Kadavanthra,Kochi,L_LINE_1,Line 1,Central,Regular,0,2,16,8,4,5,19,2407,1083,2768,24,Transit Hub,Metro;Rail;Bus,Tier-1,06-07,Wednesday,0,Inbound,KOC018-P1,749,684,53,2.12,18,11,5.5,1800,0.2,481,159,34,692,934,110,0,Unknown,0,Unknown,0,0,Rain,28.3,3.5,57,0,Unknown,0.0,0,0,0,5.31,8,0,6,0,1,7,2026,2,Normal
HYD004,Kukatpally,Hyderabad,L_RED,Red,Central,Regular,0,3,7,2,4,9,16,1500,675,1724,4,Transit Hub,Metro;Auto;Bus,Tier-3,06-07,Wednesday,0,Outbound,HYD004-P1,615,531,41,5.58,19,9,6.7,2200,0.2,453,97,49,682,920,109,0,Unknown,0,Unknown,0,0,Clear,23.6,0.0,190,0,Unknown,0.0,0,0,0,8.78,8,0,6,0,1,7,2026,2,Normal
PUN003,Bhosari,Pune,L_LINE_1,Line 1,Central,Regular,0,2,14,6,5,5,22,1464,658,1683,16,Transit Hub,Metro;Rail;Bus,Tier-3,06-07,Wednesday,0,Outbound,PUN003-P1,715,615,51,6.31,11,6,10.0,1500,0.2,479,148,67,631,851,100,0,Unknown,0,Unknown,0,0,Cloudy,35.7,0.2,195,0,Unknown,0.0,0,0,0,7.68,8,0,6,0,1,7,2026,2,Normal
KOC017,Ernakulam South,Kochi,L_LINE_1,Line 1,Central,Regular,0,4,16,5,2,10,10,2083,937,2395,17,Transit Hub,Metro;Auto;Bus,Tier-1,06-07,Wednesday,0,Outbound,KOC017-P1,472,479,24,3.04,16,7,8.6,2200,0.2,278,82,37,598,807,95,0,Unknown,0,Unknown,0,0,Clear,28.5,0.0,164,0,Unknown,0.0,0,0,0,8.23,8,0,6,0,1,7,2026,2,Normal
HYD005,Balanagar,Hyderabad,L_RED,Red,Central,Regular,0,4,8,3,3,5,14,1853,833,2130,25,Mixed Use,Metro;Rail;Bus,Tier-2,06-07,Wednesday,0,Outbound,HYD005-P1,766,913,42,4.88,17,6,10.0,1500,0.2,445,123,45,843,1138,134,0,Unknown,0,Unknown,0,0,Clear,23.4,0.0,84,0,Unknown,0.0,0,0,0,10.67,8,0,6,0,1,7,2026,2,Normal
KOC016,Maharaja's College,Kochi,L_LINE_1,Line 1,Central,Regular,0,3,9,2,5,4,8,2339,1052,2689,12,Commercial,Metro;Cab;Bus,Tier-1,06-07,Wednesday,0,Outbound,KOC016-P1,629,670,41,3.46,12,8,7.5,1500,0.2,415,113,27,672,907,107,0,Unknown,0,Unknown,0,0,Light Rain,35.5,9.4,151,0,Unknown,0.0,0,0,0,10.36,8,0,6,0,1,7,2026,2,Normal
HYD006,Moosapet,Hyderabad,L_RED,Red,Central,Regular,0,4,6,6,4,4,9,1643,739,1889,7,Residential,Metro;Cab;Bus,Tier-3,06-07,Wednesday,0,Inbound,HYD006-P1,793,638,54,2.29,22,8,7.5,1800,0.2,568,162,73,748,1009,119,0,Unknown,0,Unknown,0,0,Clear,28.7,0.0,176,0,Unknown,0.0,0,0,0,7.09,8,0,6,0,1,7,2026,2,Normal
KOC019,Elamkulam,Kochi,L_LINE_1,Line 1,Central,Regular,0,4,16,5,2,12,10,2067,930,2377,24,Commercial,Metro;Auto;Bus,Tier-2,06-07,Wednesday,0,Outbound,KOC019-P1,668,570,34,3.99,13,8,7.5,1500,0.2,416,84,62,594,801,95,0,Unknown,0,Unknown,0,0,Rain,28.0,14.6,61,0,Unknown,0.0,0,0,0,6.2,8,0,6,0,1,7,2026,2,Normal
KOC015,M.G Road,Kochi,L_LINE_1,Line 1,Central,Regular,0,2,7,2,3,7,16,2069,931,2379,24,Mixed Use,Metro;Auto;Bus,Tier-2,06-07,Wednesday,0,Inbound,KOC015-P1,536,520,31,3.92,12,7,8.6,2200,0.2,348,84,23,595,803,95,0,Unknown,0,Unknown,0,0,Light Rain,34.4,4.0,148,0,Unknown,0.0,0,0,0,8.32,8,0,6,0,1,7,2026,2,Normal
DEL018,Vaishali,Delhi,L_BLUE,Blue,Central,Regular,0,2,14,6,3,5,17,2320,1044,2668,23,Residential,Metro;Rail;Bus,Tier-1,06-07,Wednesday,0,Outbound,DEL018-P1,1680,1286,112,5.37,18,9,6.7,1500,0.2,1084,190,75,1501,2026,240,0,Unknown,0,Unknown,0,0,Light Rain,24.7,7.9,156,0,Unknown,0.0,0,0,0,7.5,8,0,6,0,1,7,2026,2,Normal
