feature,unique_values,dtype
station_id,191,str
station_name,190,str
city,10,str
metro_line_id,27,str
line_name,27,str
zone_sector,1,str
station_type,3,str
interchange_flag,2,int64
num_platforms,3,int64
num_entry_exit_gates,12,int64
num_escalators,7,int64
num_lifts,4,int64
num_ticket_counters,11,int64
num_afc_gates,18,int64
platform_capacity,174,int64
concourse_area_sqm,150,int64
max_safe_occupancy,174,int64
nearby_poi_count,25,int64
poi_category,6,str
connecting_transport_modes,4,str
station_tier,3,str
time_slot,16,str
day_of_week,7,str
is_weekend,2,int64
direction,2,str
platform_id,191,str
entry_count,3437,int64
exit_count,3159,int64
net_flow,1884,int64
transfer_count,668,int64
avg_dwell_time,551,float64
queue_length_at_gate,46,int64
train_arrivals_in_slot,7,int64
train_headway_minutes,7,float64
train_capacity,4,int64
train_load_factor,315,float64
afc_smart_card_taps,2424,int64
qr_ticket_taps,789,int64
token_sales_count,371,int64
historical_avg_footfall,1690,int64
historical_peak_footfall,1690,int64
historical_std_dev,480,int64
is_holiday,2,int64
holiday_type,2,str
is_festival,2,int64
festival_name,2,str
school_college_session_flag,2,int64
office_hours_flag,2,int64
weather_condition,4,str
temperature,131,float64
rainfall_mm,151,float64
aqi_index,155,int64
special_event_flag,2,int64
event_type,5,str
event_distance_km,50,float64
expected_event_attendance,776,int64
strike_or_disruption_flag,2,int64
service_alert_active,2,int64
current_train_frequency,952,float64
scheduled_train_frequency,1,int64
platform_congestion_flag,2,int64
hour,16,int64
minute,1,int64
day,11,int64
month,1,int64
year,1,int64
day_of_week_number,7,int64
peak_period,3,str
