feature,data_type,is_categorical
station_id,str,True
station_name,str,True
city,str,True
metro_line_id,str,True
line_name,str,True
zone_sector,str,True
station_type,str,True
interchange_flag,int64,False
num_platforms,int64,False
num_entry_exit_gates,int64,False
num_escalators,int64,False
num_lifts,int64,False
num_ticket_counters,int64,False
num_afc_gates,int64,False
platform_capacity,int64,False
concourse_area_sqm,int64,False
max_safe_occupancy,int64,False
nearby_poi_count,int64,False
poi_category,str,True
connecting_transport_modes,str,True
station_tier,str,True
time_slot,str,True
day_of_week,str,True
is_weekend,int64,False
direction,str,True
platform_id,str,True
entry_count,int64,False
exit_count,int64,False
transfer_count,int64,False
avg_dwell_time,float64,False
queue_length_at_gate,int64,False
train_arrivals_in_slot,int64,False
train_headway_minutes,float64,False
train_capacity,int64,False
train_load_factor,float64,False
afc_smart_card_taps,int64,False
qr_ticket_taps,int64,False
token_sales_count,int64,False
historical_avg_footfall,int64,False
historical_peak_footfall,int64,False
historical_std_dev,int64,False
is_holiday,int64,False
holiday_type,str,True
is_festival,int64,False
festival_name,str,True
school_college_session_flag,int64,False
office_hours_flag,int64,False
weather_condition,str,True
temperature,float64,False
rainfall_mm,float64,False
aqi_index,int64,False
special_event_flag,int64,False
event_type,str,True
event_distance_km,float64,False
expected_event_attendance,int64,False
strike_or_disruption_flag,int64,False
service_alert_active,int64,False
current_train_frequency,float64,False
scheduled_train_frequency,int64,False
platform_congestion_flag,int64,False
hour,int64,False
minute,int64,False
day,int64,False
month,int64,False
year,int64,False
day_of_week_number,int64,False
peak_period,str,True
