Model,Target,RMSE,MAE
Random Forest,Entry +15 min,99.40494176060206,59.118971304230115
Random Forest,Entry +30 min,98.7215884902983,58.36313316769956
Random Forest,Entry +45 min,96.0544487540403,56.49805767966264
Random Forest,Occupancy +15 min,0.0577850999074912,0.035277921588216445
Random Forest,Occupancy +30 min,0.058338734202223734,0.03531841258100626
Random Forest,Occupancy +45 min,0.05715213543461491,0.03458515091864986
XGBoost,Entry +15 min,99.84395539884976,58.82688522338867
XGBoost,Entry +30 min,98.3544143407529,57.75597381591797
XGBoost,Entry +45 min,97.88275731551242,56.871463775634766
XGBoost,Occupancy +15 min,0.05892054699557204,0.03622906655073166
XGBoost,Occupancy +30 min,0.059065635234633485,0.03600170835852623
XGBoost,Occupancy +45 min,0.05838166637155789,0.03570917621254921
RF + XGBoost Ensemble,Entry +15 min,98.42647275859915,58.210464815862174
RF + XGBoost Ensemble,Entry +30 min,97.57781193238836,57.4169813681967
RF + XGBoost Ensemble,Entry +45 min,95.70404583163675,55.83896873610749
RF + XGBoost Ensemble,Occupancy +15 min,0.057378853711222866,0.0349621846564447
RF + XGBoost Ensemble,Occupancy +30 min,0.05778082512183274,0.034884339453566685
RF + XGBoost Ensemble,Occupancy +45 min,0.05692532288109747,0.03439647804342721
